case,sequence_length,gqa_group,selection_pattern,provider,route,status,batch_repetitions,median_wall_ms,min_wall_ms,max_wall_ms,median_cuda_event_ms,branch_query_tokens_per_second,extra_peak_allocated_bytes
n16384_g4_recent,16384,4,recent,nsa,nsa_triton_forward,measured,10,15.725556699999288,14.308321699991211,17.970442699993328,16.97879638671875,1041870.9055941238,68157440
n16384_g4_recent,16384,4,recent,fsa,fsa_specialized,measured,10,12.85326699999132,11.548915900016254,14.011218099994949,13.380848693847657,1274695.375114441,332121088
n16384_g8_random,16384,8,random,fla,,not_timed,,,,,,,
n16384_g8_random,16384,8,random,nsa,nsa_triton_forward,measured,10,17.154512000001887,15.206603699994048,17.874242400012008,17.331452941894533,955084.0035553443,136314880
n16384_g8_random,16384,8,random,fsa,fsa_specialized,measured,10,22.99769619999097,20.523814100010895,25.482678499997746,23.102584838867188,712419.1857098466,647306240
n16384_g8_recent,16384,8,recent,fla,,not_timed,,,,,,,
n16384_g8_recent,16384,8,recent,nsa,nsa_triton_forward,measured,10,15.987234099998204,14.634657199985668,17.05355500000678,17.425996398925783,1024817.6699934506,136314880
n16384_g8_recent,16384,8,recent,fsa,fsa_specialized,measured,10,19.713094799999453,18.50077260000944,20.64364210000349,21.503065490722655,831122.6708046093,468698112
n16384_g16_random,16384,16,random,nsa,nsa_triton_forward,measured,10,16.44994879998194,15.382370400016043,17.10066780001398,17.932643127441406,995990.9419303474,272629760
n16384_g16_random,16384,16,random,fla,fla_selected_forward,measured,10,15.269689600017955,14.50901129999238,16.62388249999367,16.643997192382812,1072975.3144412795,272629760
n16384_g16_random,16384,16,random,fsa,fsa_nsa_fallback,measured,10,16.447081700016497,15.341969899986907,17.844202700007372,17.929231262207033,996164.5657772567,272629760
n16384_g16_recent,16384,16,recent,nsa,nsa_triton_forward,measured,10,17.131209200010744,15.349065400005202,18.608616500000608,17.682920837402342,956383.1606229946,272629760
n16384_g16_recent,16384,16,recent,fla,fla_selected_forward,measured,10,16.150220100007573,14.373468600001615,16.771688400012863,16.686189270019533,1014475.3383263376,272629760
n16384_g16_recent,16384,16,recent,fsa,fsa_nsa_fallback,measured,10,17.55531650001103,15.702349799994408,19.188526799985084,17.938400268554688,933278.5313206803,272629760
